index,outer_fold,inner_fold,p_Thres,C_value,worker
14,2,4,1e-05,1,14
30,2,4,0.0014371429,1,14
46,2,4,0.0028642857,1,14
62,2,4,0.0042914286,1,14
78,2,4,0.0057185714,1,14
94,2,4,0.0071457143,1,14
110,2,4,0.0085728571,1,14
126,2,4,0.01,1,14
142,2,4,1e-05,87,14
158,2,4,0.0014371429,87,14
174,2,4,0.0028642857,87,14
190,2,4,0.0042914286,87,14
206,2,4,0.0057185714,87,14
222,2,4,0.0071457143,87,14
238,2,4,0.0085728571,87,14
254,2,4,0.01,87,14
270,2,4,1e-05,172,14
286,2,4,0.0014371429,172,14
302,2,4,0.0028642857,172,14
318,2,4,0.0042914286,172,14
334,2,4,0.0057185714,172,14
350,2,4,0.0071457143,172,14
366,2,4,0.0085728571,172,14
382,2,4,0.01,172,14
398,2,4,1e-05,258,14
414,2,4,0.0014371429,258,14
430,2,4,0.0028642857,258,14
446,2,4,0.0042914286,258,14
462,2,4,0.0057185714,258,14
478,2,4,0.0071457143,258,14
494,2,4,0.0085728571,258,14
510,2,4,0.01,258,14
526,2,4,1e-05,343,14
542,2,4,0.0014371429,343,14
558,2,4,0.0028642857,343,14
574,2,4,0.0042914286,343,14
590,2,4,0.0057185714,343,14
606,2,4,0.0071457143,343,14
622,2,4,0.0085728571,343,14
638,2,4,0.01,343,14
654,2,4,1e-05,429,14
670,2,4,0.0014371429,429,14
686,2,4,0.0028642857,429,14
702,2,4,0.0042914286,429,14
718,2,4,0.0057185714,429,14
734,2,4,0.0071457143,429,14
750,2,4,0.0085728571,429,14
766,2,4,0.01,429,14
782,2,4,1e-05,514,14
798,2,4,0.0014371429,514,14
814,2,4,0.0028642857,514,14
830,2,4,0.0042914286,514,14
846,2,4,0.0057185714,514,14
862,2,4,0.0071457143,514,14
878,2,4,0.0085728571,514,14
894,2,4,0.01,514,14
910,2,4,1e-05,600,14
926,2,4,0.0014371429,600,14
942,2,4,0.0028642857,600,14
958,2,4,0.0042914286,600,14
974,2,4,0.0057185714,600,14
990,2,4,0.0071457143,600,14
1006,2,4,0.0085728571,600,14
1022,2,4,0.01,600,14
