index,outer_fold,inner_fold,p_Thres,C_value,worker
11,3,3,1e-05,1,11
27,3,3,0.0014371429,1,11
43,3,3,0.0028642857,1,11
59,3,3,0.0042914286,1,11
75,3,3,0.0057185714,1,11
91,3,3,0.0071457143,1,11
107,3,3,0.0085728571,1,11
123,3,3,0.01,1,11
139,3,3,1e-05,87,11
155,3,3,0.0014371429,87,11
171,3,3,0.0028642857,87,11
187,3,3,0.0042914286,87,11
203,3,3,0.0057185714,87,11
219,3,3,0.0071457143,87,11
235,3,3,0.0085728571,87,11
251,3,3,0.01,87,11
267,3,3,1e-05,172,11
283,3,3,0.0014371429,172,11
299,3,3,0.0028642857,172,11
315,3,3,0.0042914286,172,11
331,3,3,0.0057185714,172,11
347,3,3,0.0071457143,172,11
363,3,3,0.0085728571,172,11
379,3,3,0.01,172,11
395,3,3,1e-05,258,11
411,3,3,0.0014371429,258,11
427,3,3,0.0028642857,258,11
443,3,3,0.0042914286,258,11
459,3,3,0.0057185714,258,11
475,3,3,0.0071457143,258,11
491,3,3,0.0085728571,258,11
507,3,3,0.01,258,11
523,3,3,1e-05,343,11
539,3,3,0.0014371429,343,11
555,3,3,0.0028642857,343,11
571,3,3,0.0042914286,343,11
587,3,3,0.0057185714,343,11
603,3,3,0.0071457143,343,11
619,3,3,0.0085728571,343,11
635,3,3,0.01,343,11
651,3,3,1e-05,429,11
667,3,3,0.0014371429,429,11
683,3,3,0.0028642857,429,11
699,3,3,0.0042914286,429,11
715,3,3,0.0057185714,429,11
731,3,3,0.0071457143,429,11
747,3,3,0.0085728571,429,11
763,3,3,0.01,429,11
779,3,3,1e-05,514,11
795,3,3,0.0014371429,514,11
811,3,3,0.0028642857,514,11
827,3,3,0.0042914286,514,11
843,3,3,0.0057185714,514,11
859,3,3,0.0071457143,514,11
875,3,3,0.0085728571,514,11
891,3,3,0.01,514,11
907,3,3,1e-05,600,11
923,3,3,0.0014371429,600,11
939,3,3,0.0028642857,600,11
955,3,3,0.0042914286,600,11
971,3,3,0.0057185714,600,11
987,3,3,0.0071457143,600,11
1003,3,3,0.0085728571,600,11
1019,3,3,0.01,600,11
