index,outer_fold,inner_fold,p_Thres,C_value,worker
3,3,1,1e-05,1,3
19,3,1,0.0014371429,1,3
35,3,1,0.0028642857,1,3
51,3,1,0.0042914286,1,3
67,3,1,0.0057185714,1,3
83,3,1,0.0071457143,1,3
99,3,1,0.0085728571,1,3
115,3,1,0.01,1,3
131,3,1,1e-05,87,3
147,3,1,0.0014371429,87,3
163,3,1,0.0028642857,87,3
179,3,1,0.0042914286,87,3
195,3,1,0.0057185714,87,3
211,3,1,0.0071457143,87,3
227,3,1,0.0085728571,87,3
243,3,1,0.01,87,3
259,3,1,1e-05,172,3
275,3,1,0.0014371429,172,3
291,3,1,0.0028642857,172,3
307,3,1,0.0042914286,172,3
323,3,1,0.0057185714,172,3
339,3,1,0.0071457143,172,3
355,3,1,0.0085728571,172,3
371,3,1,0.01,172,3
387,3,1,1e-05,258,3
403,3,1,0.0014371429,258,3
419,3,1,0.0028642857,258,3
435,3,1,0.0042914286,258,3
451,3,1,0.0057185714,258,3
467,3,1,0.0071457143,258,3
483,3,1,0.0085728571,258,3
499,3,1,0.01,258,3
515,3,1,1e-05,343,3
531,3,1,0.0014371429,343,3
547,3,1,0.0028642857,343,3
563,3,1,0.0042914286,343,3
579,3,1,0.0057185714,343,3
595,3,1,0.0071457143,343,3
611,3,1,0.0085728571,343,3
627,3,1,0.01,343,3
643,3,1,1e-05,429,3
659,3,1,0.0014371429,429,3
675,3,1,0.0028642857,429,3
691,3,1,0.0042914286,429,3
707,3,1,0.0057185714,429,3
723,3,1,0.0071457143,429,3
739,3,1,0.0085728571,429,3
755,3,1,0.01,429,3
771,3,1,1e-05,514,3
787,3,1,0.0014371429,514,3
803,3,1,0.0028642857,514,3
819,3,1,0.0042914286,514,3
835,3,1,0.0057185714,514,3
851,3,1,0.0071457143,514,3
867,3,1,0.0085728571,514,3
883,3,1,0.01,514,3
899,3,1,1e-05,600,3
915,3,1,0.0014371429,600,3
931,3,1,0.0028642857,600,3
947,3,1,0.0042914286,600,3
963,3,1,0.0057185714,600,3
979,3,1,0.0071457143,600,3
995,3,1,0.0085728571,600,3
1011,3,1,0.01,600,3
