index,outer_fold,inner_fold,p_Thres,C_value,worker
9,1,3,1e-05,1,9
25,1,3,0.0014371429,1,9
41,1,3,0.0028642857,1,9
57,1,3,0.0042914286,1,9
73,1,3,0.0057185714,1,9
89,1,3,0.0071457143,1,9
105,1,3,0.0085728571,1,9
121,1,3,0.01,1,9
137,1,3,1e-05,87,9
153,1,3,0.0014371429,87,9
169,1,3,0.0028642857,87,9
185,1,3,0.0042914286,87,9
201,1,3,0.0057185714,87,9
217,1,3,0.0071457143,87,9
233,1,3,0.0085728571,87,9
249,1,3,0.01,87,9
265,1,3,1e-05,172,9
281,1,3,0.0014371429,172,9
297,1,3,0.0028642857,172,9
313,1,3,0.0042914286,172,9
329,1,3,0.0057185714,172,9
345,1,3,0.0071457143,172,9
361,1,3,0.0085728571,172,9
377,1,3,0.01,172,9
393,1,3,1e-05,258,9
409,1,3,0.0014371429,258,9
425,1,3,0.0028642857,258,9
441,1,3,0.0042914286,258,9
457,1,3,0.0057185714,258,9
473,1,3,0.0071457143,258,9
489,1,3,0.0085728571,258,9
505,1,3,0.01,258,9
521,1,3,1e-05,343,9
537,1,3,0.0014371429,343,9
553,1,3,0.0028642857,343,9
569,1,3,0.0042914286,343,9
585,1,3,0.0057185714,343,9
601,1,3,0.0071457143,343,9
617,1,3,0.0085728571,343,9
633,1,3,0.01,343,9
649,1,3,1e-05,429,9
665,1,3,0.0014371429,429,9
681,1,3,0.0028642857,429,9
697,1,3,0.0042914286,429,9
713,1,3,0.0057185714,429,9
729,1,3,0.0071457143,429,9
745,1,3,0.0085728571,429,9
761,1,3,0.01,429,9
777,1,3,1e-05,514,9
793,1,3,0.0014371429,514,9
809,1,3,0.0028642857,514,9
825,1,3,0.0042914286,514,9
841,1,3,0.0057185714,514,9
857,1,3,0.0071457143,514,9
873,1,3,0.0085728571,514,9
889,1,3,0.01,514,9
905,1,3,1e-05,600,9
921,1,3,0.0014371429,600,9
937,1,3,0.0028642857,600,9
953,1,3,0.0042914286,600,9
969,1,3,0.0057185714,600,9
985,1,3,0.0071457143,600,9
1001,1,3,0.0085728571,600,9
1017,1,3,0.01,600,9
