index,outer_fold,inner_fold,p_Thres,C_value,worker
13,1,4,1e-05,1,13
29,1,4,0.0014371429,1,13
45,1,4,0.0028642857,1,13
61,1,4,0.0042914286,1,13
77,1,4,0.0057185714,1,13
93,1,4,0.0071457143,1,13
109,1,4,0.0085728571,1,13
125,1,4,0.01,1,13
141,1,4,1e-05,87,13
157,1,4,0.0014371429,87,13
173,1,4,0.0028642857,87,13
189,1,4,0.0042914286,87,13
205,1,4,0.0057185714,87,13
221,1,4,0.0071457143,87,13
237,1,4,0.0085728571,87,13
253,1,4,0.01,87,13
269,1,4,1e-05,172,13
285,1,4,0.0014371429,172,13
301,1,4,0.0028642857,172,13
317,1,4,0.0042914286,172,13
333,1,4,0.0057185714,172,13
349,1,4,0.0071457143,172,13
365,1,4,0.0085728571,172,13
381,1,4,0.01,172,13
397,1,4,1e-05,258,13
413,1,4,0.0014371429,258,13
429,1,4,0.0028642857,258,13
445,1,4,0.0042914286,258,13
461,1,4,0.0057185714,258,13
477,1,4,0.0071457143,258,13
493,1,4,0.0085728571,258,13
509,1,4,0.01,258,13
525,1,4,1e-05,343,13
541,1,4,0.0014371429,343,13
557,1,4,0.0028642857,343,13
573,1,4,0.0042914286,343,13
589,1,4,0.0057185714,343,13
605,1,4,0.0071457143,343,13
621,1,4,0.0085728571,343,13
637,1,4,0.01,343,13
653,1,4,1e-05,429,13
669,1,4,0.0014371429,429,13
685,1,4,0.0028642857,429,13
701,1,4,0.0042914286,429,13
717,1,4,0.0057185714,429,13
733,1,4,0.0071457143,429,13
749,1,4,0.0085728571,429,13
765,1,4,0.01,429,13
781,1,4,1e-05,514,13
797,1,4,0.0014371429,514,13
813,1,4,0.0028642857,514,13
829,1,4,0.0042914286,514,13
845,1,4,0.0057185714,514,13
861,1,4,0.0071457143,514,13
877,1,4,0.0085728571,514,13
893,1,4,0.01,514,13
909,1,4,1e-05,600,13
925,1,4,0.0014371429,600,13
941,1,4,0.0028642857,600,13
957,1,4,0.0042914286,600,13
973,1,4,0.0057185714,600,13
989,1,4,0.0071457143,600,13
1005,1,4,0.0085728571,600,13
1021,1,4,0.01,600,13
