index,outer_fold,inner_fold,p_Thres,C_value,worker
4,4,1,1e-05,1,4
20,4,1,0.0014371429,1,4
36,4,1,0.0028642857,1,4
52,4,1,0.0042914286,1,4
68,4,1,0.0057185714,1,4
84,4,1,0.0071457143,1,4
100,4,1,0.0085728571,1,4
116,4,1,0.01,1,4
132,4,1,1e-05,87,4
148,4,1,0.0014371429,87,4
164,4,1,0.0028642857,87,4
180,4,1,0.0042914286,87,4
196,4,1,0.0057185714,87,4
212,4,1,0.0071457143,87,4
228,4,1,0.0085728571,87,4
244,4,1,0.01,87,4
260,4,1,1e-05,172,4
276,4,1,0.0014371429,172,4
292,4,1,0.0028642857,172,4
308,4,1,0.0042914286,172,4
324,4,1,0.0057185714,172,4
340,4,1,0.0071457143,172,4
356,4,1,0.0085728571,172,4
372,4,1,0.01,172,4
388,4,1,1e-05,258,4
404,4,1,0.0014371429,258,4
420,4,1,0.0028642857,258,4
436,4,1,0.0042914286,258,4
452,4,1,0.0057185714,258,4
468,4,1,0.0071457143,258,4
484,4,1,0.0085728571,258,4
500,4,1,0.01,258,4
516,4,1,1e-05,343,4
532,4,1,0.0014371429,343,4
548,4,1,0.0028642857,343,4
564,4,1,0.0042914286,343,4
580,4,1,0.0057185714,343,4
596,4,1,0.0071457143,343,4
612,4,1,0.0085728571,343,4
628,4,1,0.01,343,4
644,4,1,1e-05,429,4
660,4,1,0.0014371429,429,4
676,4,1,0.0028642857,429,4
692,4,1,0.0042914286,429,4
708,4,1,0.0057185714,429,4
724,4,1,0.0071457143,429,4
740,4,1,0.0085728571,429,4
756,4,1,0.01,429,4
772,4,1,1e-05,514,4
788,4,1,0.0014371429,514,4
804,4,1,0.0028642857,514,4
820,4,1,0.0042914286,514,4
836,4,1,0.0057185714,514,4
852,4,1,0.0071457143,514,4
868,4,1,0.0085728571,514,4
884,4,1,0.01,514,4
900,4,1,1e-05,600,4
916,4,1,0.0014371429,600,4
932,4,1,0.0028642857,600,4
948,4,1,0.0042914286,600,4
964,4,1,0.0057185714,600,4
980,4,1,0.0071457143,600,4
996,4,1,0.0085728571,600,4
1012,4,1,0.01,600,4
