index,outer_fold,inner_fold,p_Thres,C_value,worker
6,2,2,1e-05,1,6
22,2,2,0.0014371429,1,6
38,2,2,0.0028642857,1,6
54,2,2,0.0042914286,1,6
70,2,2,0.0057185714,1,6
86,2,2,0.0071457143,1,6
102,2,2,0.0085728571,1,6
118,2,2,0.01,1,6
134,2,2,1e-05,87,6
150,2,2,0.0014371429,87,6
166,2,2,0.0028642857,87,6
182,2,2,0.0042914286,87,6
198,2,2,0.0057185714,87,6
214,2,2,0.0071457143,87,6
230,2,2,0.0085728571,87,6
246,2,2,0.01,87,6
262,2,2,1e-05,172,6
278,2,2,0.0014371429,172,6
294,2,2,0.0028642857,172,6
310,2,2,0.0042914286,172,6
326,2,2,0.0057185714,172,6
342,2,2,0.0071457143,172,6
358,2,2,0.0085728571,172,6
374,2,2,0.01,172,6
390,2,2,1e-05,258,6
406,2,2,0.0014371429,258,6
422,2,2,0.0028642857,258,6
438,2,2,0.0042914286,258,6
454,2,2,0.0057185714,258,6
470,2,2,0.0071457143,258,6
486,2,2,0.0085728571,258,6
502,2,2,0.01,258,6
518,2,2,1e-05,343,6
534,2,2,0.0014371429,343,6
550,2,2,0.0028642857,343,6
566,2,2,0.0042914286,343,6
582,2,2,0.0057185714,343,6
598,2,2,0.0071457143,343,6
614,2,2,0.0085728571,343,6
630,2,2,0.01,343,6
646,2,2,1e-05,429,6
662,2,2,0.0014371429,429,6
678,2,2,0.0028642857,429,6
694,2,2,0.0042914286,429,6
710,2,2,0.0057185714,429,6
726,2,2,0.0071457143,429,6
742,2,2,0.0085728571,429,6
758,2,2,0.01,429,6
774,2,2,1e-05,514,6
790,2,2,0.0014371429,514,6
806,2,2,0.0028642857,514,6
822,2,2,0.0042914286,514,6
838,2,2,0.0057185714,514,6
854,2,2,0.0071457143,514,6
870,2,2,0.0085728571,514,6
886,2,2,0.01,514,6
902,2,2,1e-05,600,6
918,2,2,0.0014371429,600,6
934,2,2,0.0028642857,600,6
950,2,2,0.0042914286,600,6
966,2,2,0.0057185714,600,6
982,2,2,0.0071457143,600,6
998,2,2,0.0085728571,600,6
1014,2,2,0.01,600,6
