index,outer_fold,inner_fold,p_Thres,C_value,worker
15,3,4,1e-05,1,15
31,3,4,0.0014371429,1,15
47,3,4,0.0028642857,1,15
63,3,4,0.0042914286,1,15
79,3,4,0.0057185714,1,15
95,3,4,0.0071457143,1,15
111,3,4,0.0085728571,1,15
127,3,4,0.01,1,15
143,3,4,1e-05,87,15
159,3,4,0.0014371429,87,15
175,3,4,0.0028642857,87,15
191,3,4,0.0042914286,87,15
207,3,4,0.0057185714,87,15
223,3,4,0.0071457143,87,15
239,3,4,0.0085728571,87,15
255,3,4,0.01,87,15
271,3,4,1e-05,172,15
287,3,4,0.0014371429,172,15
303,3,4,0.0028642857,172,15
319,3,4,0.0042914286,172,15
335,3,4,0.0057185714,172,15
351,3,4,0.0071457143,172,15
367,3,4,0.0085728571,172,15
383,3,4,0.01,172,15
399,3,4,1e-05,258,15
415,3,4,0.0014371429,258,15
431,3,4,0.0028642857,258,15
447,3,4,0.0042914286,258,15
463,3,4,0.0057185714,258,15
479,3,4,0.0071457143,258,15
495,3,4,0.0085728571,258,15
511,3,4,0.01,258,15
527,3,4,1e-05,343,15
543,3,4,0.0014371429,343,15
559,3,4,0.0028642857,343,15
575,3,4,0.0042914286,343,15
591,3,4,0.0057185714,343,15
607,3,4,0.0071457143,343,15
623,3,4,0.0085728571,343,15
639,3,4,0.01,343,15
655,3,4,1e-05,429,15
671,3,4,0.0014371429,429,15
687,3,4,0.0028642857,429,15
703,3,4,0.0042914286,429,15
719,3,4,0.0057185714,429,15
735,3,4,0.0071457143,429,15
751,3,4,0.0085728571,429,15
767,3,4,0.01,429,15
783,3,4,1e-05,514,15
799,3,4,0.0014371429,514,15
815,3,4,0.0028642857,514,15
831,3,4,0.0042914286,514,15
847,3,4,0.0057185714,514,15
863,3,4,0.0071457143,514,15
879,3,4,0.0085728571,514,15
895,3,4,0.01,514,15
911,3,4,1e-05,600,15
927,3,4,0.0014371429,600,15
943,3,4,0.0028642857,600,15
959,3,4,0.0042914286,600,15
975,3,4,0.0057185714,600,15
991,3,4,0.0071457143,600,15
1007,3,4,0.0085728571,600,15
1023,3,4,0.01,600,15
