index,outer_fold,inner_fold,p_Thres,C_value,worker
1,1,1,1e-05,1,1
17,1,1,0.0014371429,1,1
33,1,1,0.0028642857,1,1
49,1,1,0.0042914286,1,1
65,1,1,0.0057185714,1,1
81,1,1,0.0071457143,1,1
97,1,1,0.0085728571,1,1
113,1,1,0.01,1,1
129,1,1,1e-05,87,1
145,1,1,0.0014371429,87,1
161,1,1,0.0028642857,87,1
177,1,1,0.0042914286,87,1
193,1,1,0.0057185714,87,1
209,1,1,0.0071457143,87,1
225,1,1,0.0085728571,87,1
241,1,1,0.01,87,1
257,1,1,1e-05,172,1
273,1,1,0.0014371429,172,1
289,1,1,0.0028642857,172,1
305,1,1,0.0042914286,172,1
321,1,1,0.0057185714,172,1
337,1,1,0.0071457143,172,1
353,1,1,0.0085728571,172,1
369,1,1,0.01,172,1
385,1,1,1e-05,258,1
401,1,1,0.0014371429,258,1
417,1,1,0.0028642857,258,1
433,1,1,0.0042914286,258,1
449,1,1,0.0057185714,258,1
465,1,1,0.0071457143,258,1
481,1,1,0.0085728571,258,1
497,1,1,0.01,258,1
513,1,1,1e-05,343,1
529,1,1,0.0014371429,343,1
545,1,1,0.0028642857,343,1
561,1,1,0.0042914286,343,1
577,1,1,0.0057185714,343,1
593,1,1,0.0071457143,343,1
609,1,1,0.0085728571,343,1
625,1,1,0.01,343,1
641,1,1,1e-05,429,1
657,1,1,0.0014371429,429,1
673,1,1,0.0028642857,429,1
689,1,1,0.0042914286,429,1
705,1,1,0.0057185714,429,1
721,1,1,0.0071457143,429,1
737,1,1,0.0085728571,429,1
753,1,1,0.01,429,1
769,1,1,1e-05,514,1
785,1,1,0.0014371429,514,1
801,1,1,0.0028642857,514,1
817,1,1,0.0042914286,514,1
833,1,1,0.0057185714,514,1
849,1,1,0.0071457143,514,1
865,1,1,0.0085728571,514,1
881,1,1,0.01,514,1
897,1,1,1e-05,600,1
913,1,1,0.0014371429,600,1
929,1,1,0.0028642857,600,1
945,1,1,0.0042914286,600,1
961,1,1,0.0057185714,600,1
977,1,1,0.0071457143,600,1
993,1,1,0.0085728571,600,1
1009,1,1,0.01,600,1
