index,outer_fold,inner_fold,p_Thres,C_value,worker
5,1,2,1e-05,1,5
21,1,2,0.0014371429,1,5
37,1,2,0.0028642857,1,5
53,1,2,0.0042914286,1,5
69,1,2,0.0057185714,1,5
85,1,2,0.0071457143,1,5
101,1,2,0.0085728571,1,5
117,1,2,0.01,1,5
133,1,2,1e-05,87,5
149,1,2,0.0014371429,87,5
165,1,2,0.0028642857,87,5
181,1,2,0.0042914286,87,5
197,1,2,0.0057185714,87,5
213,1,2,0.0071457143,87,5
229,1,2,0.0085728571,87,5
245,1,2,0.01,87,5
261,1,2,1e-05,172,5
277,1,2,0.0014371429,172,5
293,1,2,0.0028642857,172,5
309,1,2,0.0042914286,172,5
325,1,2,0.0057185714,172,5
341,1,2,0.0071457143,172,5
357,1,2,0.0085728571,172,5
373,1,2,0.01,172,5
389,1,2,1e-05,258,5
405,1,2,0.0014371429,258,5
421,1,2,0.0028642857,258,5
437,1,2,0.0042914286,258,5
453,1,2,0.0057185714,258,5
469,1,2,0.0071457143,258,5
485,1,2,0.0085728571,258,5
501,1,2,0.01,258,5
517,1,2,1e-05,343,5
533,1,2,0.0014371429,343,5
549,1,2,0.0028642857,343,5
565,1,2,0.0042914286,343,5
581,1,2,0.0057185714,343,5
597,1,2,0.0071457143,343,5
613,1,2,0.0085728571,343,5
629,1,2,0.01,343,5
645,1,2,1e-05,429,5
661,1,2,0.0014371429,429,5
677,1,2,0.0028642857,429,5
693,1,2,0.0042914286,429,5
709,1,2,0.0057185714,429,5
725,1,2,0.0071457143,429,5
741,1,2,0.0085728571,429,5
757,1,2,0.01,429,5
773,1,2,1e-05,514,5
789,1,2,0.0014371429,514,5
805,1,2,0.0028642857,514,5
821,1,2,0.0042914286,514,5
837,1,2,0.0057185714,514,5
853,1,2,0.0071457143,514,5
869,1,2,0.0085728571,514,5
885,1,2,0.01,514,5
901,1,2,1e-05,600,5
917,1,2,0.0014371429,600,5
933,1,2,0.0028642857,600,5
949,1,2,0.0042914286,600,5
965,1,2,0.0057185714,600,5
981,1,2,0.0071457143,600,5
997,1,2,0.0085728571,600,5
1013,1,2,0.01,600,5
