index,outer_fold,inner_fold,p_Thres,C_value,worker
16,4,4,1e-05,1,16
32,4,4,0.0014371429,1,16
48,4,4,0.0028642857,1,16
64,4,4,0.0042914286,1,16
80,4,4,0.0057185714,1,16
96,4,4,0.0071457143,1,16
112,4,4,0.0085728571,1,16
128,4,4,0.01,1,16
144,4,4,1e-05,87,16
160,4,4,0.0014371429,87,16
176,4,4,0.0028642857,87,16
192,4,4,0.0042914286,87,16
208,4,4,0.0057185714,87,16
224,4,4,0.0071457143,87,16
240,4,4,0.0085728571,87,16
256,4,4,0.01,87,16
272,4,4,1e-05,172,16
288,4,4,0.0014371429,172,16
304,4,4,0.0028642857,172,16
320,4,4,0.0042914286,172,16
336,4,4,0.0057185714,172,16
352,4,4,0.0071457143,172,16
368,4,4,0.0085728571,172,16
384,4,4,0.01,172,16
400,4,4,1e-05,258,16
416,4,4,0.0014371429,258,16
432,4,4,0.0028642857,258,16
448,4,4,0.0042914286,258,16
464,4,4,0.0057185714,258,16
480,4,4,0.0071457143,258,16
496,4,4,0.0085728571,258,16
512,4,4,0.01,258,16
528,4,4,1e-05,343,16
544,4,4,0.0014371429,343,16
560,4,4,0.0028642857,343,16
576,4,4,0.0042914286,343,16
592,4,4,0.0057185714,343,16
608,4,4,0.0071457143,343,16
624,4,4,0.0085728571,343,16
640,4,4,0.01,343,16
656,4,4,1e-05,429,16
672,4,4,0.0014371429,429,16
688,4,4,0.0028642857,429,16
704,4,4,0.0042914286,429,16
720,4,4,0.0057185714,429,16
736,4,4,0.0071457143,429,16
752,4,4,0.0085728571,429,16
768,4,4,0.01,429,16
784,4,4,1e-05,514,16
800,4,4,0.0014371429,514,16
816,4,4,0.0028642857,514,16
832,4,4,0.0042914286,514,16
848,4,4,0.0057185714,514,16
864,4,4,0.0071457143,514,16
880,4,4,0.0085728571,514,16
896,4,4,0.01,514,16
912,4,4,1e-05,600,16
928,4,4,0.0014371429,600,16
944,4,4,0.0028642857,600,16
960,4,4,0.0042914286,600,16
976,4,4,0.0057185714,600,16
992,4,4,0.0071457143,600,16
1008,4,4,0.0085728571,600,16
1024,4,4,0.01,600,16
