index,outer_fold,inner_fold,p_Thres,C_value,worker
7,3,2,1e-05,1,7
23,3,2,0.0014371429,1,7
39,3,2,0.0028642857,1,7
55,3,2,0.0042914286,1,7
71,3,2,0.0057185714,1,7
87,3,2,0.0071457143,1,7
103,3,2,0.0085728571,1,7
119,3,2,0.01,1,7
135,3,2,1e-05,87,7
151,3,2,0.0014371429,87,7
167,3,2,0.0028642857,87,7
183,3,2,0.0042914286,87,7
199,3,2,0.0057185714,87,7
215,3,2,0.0071457143,87,7
231,3,2,0.0085728571,87,7
247,3,2,0.01,87,7
263,3,2,1e-05,172,7
279,3,2,0.0014371429,172,7
295,3,2,0.0028642857,172,7
311,3,2,0.0042914286,172,7
327,3,2,0.0057185714,172,7
343,3,2,0.0071457143,172,7
359,3,2,0.0085728571,172,7
375,3,2,0.01,172,7
391,3,2,1e-05,258,7
407,3,2,0.0014371429,258,7
423,3,2,0.0028642857,258,7
439,3,2,0.0042914286,258,7
455,3,2,0.0057185714,258,7
471,3,2,0.0071457143,258,7
487,3,2,0.0085728571,258,7
503,3,2,0.01,258,7
519,3,2,1e-05,343,7
535,3,2,0.0014371429,343,7
551,3,2,0.0028642857,343,7
567,3,2,0.0042914286,343,7
583,3,2,0.0057185714,343,7
599,3,2,0.0071457143,343,7
615,3,2,0.0085728571,343,7
631,3,2,0.01,343,7
647,3,2,1e-05,429,7
663,3,2,0.0014371429,429,7
679,3,2,0.0028642857,429,7
695,3,2,0.0042914286,429,7
711,3,2,0.0057185714,429,7
727,3,2,0.0071457143,429,7
743,3,2,0.0085728571,429,7
759,3,2,0.01,429,7
775,3,2,1e-05,514,7
791,3,2,0.0014371429,514,7
807,3,2,0.0028642857,514,7
823,3,2,0.0042914286,514,7
839,3,2,0.0057185714,514,7
855,3,2,0.0071457143,514,7
871,3,2,0.0085728571,514,7
887,3,2,0.01,514,7
903,3,2,1e-05,600,7
919,3,2,0.0014371429,600,7
935,3,2,0.0028642857,600,7
951,3,2,0.0042914286,600,7
967,3,2,0.0057185714,600,7
983,3,2,0.0071457143,600,7
999,3,2,0.0085728571,600,7
1015,3,2,0.01,600,7
