index,outer_fold,inner_fold,p_Thres,C_value,worker
8,4,2,1e-05,1,8
24,4,2,0.0014371429,1,8
40,4,2,0.0028642857,1,8
56,4,2,0.0042914286,1,8
72,4,2,0.0057185714,1,8
88,4,2,0.0071457143,1,8
104,4,2,0.0085728571,1,8
120,4,2,0.01,1,8
136,4,2,1e-05,87,8
152,4,2,0.0014371429,87,8
168,4,2,0.0028642857,87,8
184,4,2,0.0042914286,87,8
200,4,2,0.0057185714,87,8
216,4,2,0.0071457143,87,8
232,4,2,0.0085728571,87,8
248,4,2,0.01,87,8
264,4,2,1e-05,172,8
280,4,2,0.0014371429,172,8
296,4,2,0.0028642857,172,8
312,4,2,0.0042914286,172,8
328,4,2,0.0057185714,172,8
344,4,2,0.0071457143,172,8
360,4,2,0.0085728571,172,8
376,4,2,0.01,172,8
392,4,2,1e-05,258,8
408,4,2,0.0014371429,258,8
424,4,2,0.0028642857,258,8
440,4,2,0.0042914286,258,8
456,4,2,0.0057185714,258,8
472,4,2,0.0071457143,258,8
488,4,2,0.0085728571,258,8
504,4,2,0.01,258,8
520,4,2,1e-05,343,8
536,4,2,0.0014371429,343,8
552,4,2,0.0028642857,343,8
568,4,2,0.0042914286,343,8
584,4,2,0.0057185714,343,8
600,4,2,0.0071457143,343,8
616,4,2,0.0085728571,343,8
632,4,2,0.01,343,8
648,4,2,1e-05,429,8
664,4,2,0.0014371429,429,8
680,4,2,0.0028642857,429,8
696,4,2,0.0042914286,429,8
712,4,2,0.0057185714,429,8
728,4,2,0.0071457143,429,8
744,4,2,0.0085728571,429,8
760,4,2,0.01,429,8
776,4,2,1e-05,514,8
792,4,2,0.0014371429,514,8
808,4,2,0.0028642857,514,8
824,4,2,0.0042914286,514,8
840,4,2,0.0057185714,514,8
856,4,2,0.0071457143,514,8
872,4,2,0.0085728571,514,8
888,4,2,0.01,514,8
904,4,2,1e-05,600,8
920,4,2,0.0014371429,600,8
936,4,2,0.0028642857,600,8
952,4,2,0.0042914286,600,8
968,4,2,0.0057185714,600,8
984,4,2,0.0071457143,600,8
1000,4,2,0.0085728571,600,8
1016,4,2,0.01,600,8
