index,outer_fold,inner_fold,p_Thres,C_value,worker
12,4,3,1e-05,1,12
28,4,3,0.0014371429,1,12
44,4,3,0.0028642857,1,12
60,4,3,0.0042914286,1,12
76,4,3,0.0057185714,1,12
92,4,3,0.0071457143,1,12
108,4,3,0.0085728571,1,12
124,4,3,0.01,1,12
140,4,3,1e-05,87,12
156,4,3,0.0014371429,87,12
172,4,3,0.0028642857,87,12
188,4,3,0.0042914286,87,12
204,4,3,0.0057185714,87,12
220,4,3,0.0071457143,87,12
236,4,3,0.0085728571,87,12
252,4,3,0.01,87,12
268,4,3,1e-05,172,12
284,4,3,0.0014371429,172,12
300,4,3,0.0028642857,172,12
316,4,3,0.0042914286,172,12
332,4,3,0.0057185714,172,12
348,4,3,0.0071457143,172,12
364,4,3,0.0085728571,172,12
380,4,3,0.01,172,12
396,4,3,1e-05,258,12
412,4,3,0.0014371429,258,12
428,4,3,0.0028642857,258,12
444,4,3,0.0042914286,258,12
460,4,3,0.0057185714,258,12
476,4,3,0.0071457143,258,12
492,4,3,0.0085728571,258,12
508,4,3,0.01,258,12
524,4,3,1e-05,343,12
540,4,3,0.0014371429,343,12
556,4,3,0.0028642857,343,12
572,4,3,0.0042914286,343,12
588,4,3,0.0057185714,343,12
604,4,3,0.0071457143,343,12
620,4,3,0.0085728571,343,12
636,4,3,0.01,343,12
652,4,3,1e-05,429,12
668,4,3,0.0014371429,429,12
684,4,3,0.0028642857,429,12
700,4,3,0.0042914286,429,12
716,4,3,0.0057185714,429,12
732,4,3,0.0071457143,429,12
748,4,3,0.0085728571,429,12
764,4,3,0.01,429,12
780,4,3,1e-05,514,12
796,4,3,0.0014371429,514,12
812,4,3,0.0028642857,514,12
828,4,3,0.0042914286,514,12
844,4,3,0.0057185714,514,12
860,4,3,0.0071457143,514,12
876,4,3,0.0085728571,514,12
892,4,3,0.01,514,12
908,4,3,1e-05,600,12
924,4,3,0.0014371429,600,12
940,4,3,0.0028642857,600,12
956,4,3,0.0042914286,600,12
972,4,3,0.0057185714,600,12
988,4,3,0.0071457143,600,12
1004,4,3,0.0085728571,600,12
1020,4,3,0.01,600,12
